"算出基準日","都道府県名","市区町村名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日","団体コード"
"2021/05/01","岩手県","九戸郡洋野町",16436,3928,23.9,"2020/01/01","2021/05/01",35076
"2021/05/01","岩手県","二戸郡一戸町",12210,2239,18.3,"2020/01/01","2021/05/01",35246
"2021/05/01","宮城県","仙台市",1064060,347542,32.7,"2020/01/01","2021/05/01",41009
"2021/05/01","宮城県","石巻市",142638,31911,22.4,"2020/01/01","2021/05/01",42021
"2021/05/01","宮城県","塩竈市",53975,16301,30.2,"2020/01/01","2021/05/01",42030
"2021/05/01","宮城県","気仙沼市",62601,16812,26.9,"2020/01/01","2021/05/01",42056
"2021/05/01","宮城県","白石市",33712,7722,22.9,"2020/01/01","2021/05/01",42064
"2021/05/01","宮城県","名取市",79197,24207,30.6,"2020/01/01","2021/05/01",42072
"2021/05/01","宮城県","角田市",28728,6900,24.0,"2020/01/01","2021/05/01",42081
"2021/05/01","宮城県","多賀城市",62416,19986,32.0,"2020/01/01","2021/05/01",42099
"2021/05/01","宮城県","岩沼市",43995,12037,27.4,"2020/01/01","2021/05/01",42111
"2021/05/01","宮城県","登米市",78596,13779,17.5,"2020/01/01","2021/05/01",42129
"2021/05/01","宮城県","栗原市",67117,14892,22.2,"2020/01/01","2021/05/01",42137
"2021/05/01","宮城県","東松島市",39775,11459,28.8,"2020/01/01","2021/05/01",42145
"2021/05/01","宮城県","大崎市",129444,30740,23.7,"2020/01/01","2021/05/01",42153
"2021/05/01","宮城県","富谷市",52567,16654,31.7,"2020/01/01","2021/05/01",42161
"2021/05/01","宮城県","刈田郡蔵王町",11844,2691,22.7,"2020/01/01","2021/05/01",43010
"2021/05/01","宮城県","刈田郡七ヶ宿町",1376,410,29.8,"2020/01/01","2021/05/01",43028
"2021/05/01","宮城県","柴田郡大河原町",23710,6811,28.7,"2020/01/01","2021/05/01",43214
"2021/05/01","宮城県","柴田郡村田町",10800,2175,20.1,"2020/01/01","2021/05/01",43222
"2021/05/01","宮城県","柴田郡柴田町",37597,12169,32.4,"2020/01/01","2021/05/01",43231
"2021/05/01","宮城県","柴田郡川崎町",8685,2066,23.8,"2020/01/01","2021/05/01",43249
"2021/05/01","宮城県","伊具郡丸森町",13292,2636,19.8,"2020/01/01","2021/05/01",43419
"2021/05/01","宮城県","亘理郡亘理町",33577,9450,28.1,"2020/01/01","2021/05/01",43613
"2021/05/01","宮城県","亘理郡山元町",12227,2977,24.3,"2020/01/01","2021/05/01",43621
"2021/05/01","宮城県","宮城郡松島町",13896,4180,30.1,"2020/01/01","2021/05/01",44016
"2021/05/01","宮城県","宮城郡七ヶ浜町",18716,4302,23.0,"2020/01/01","2021/05/01",44041
"2021/05/01","宮城県","宮城郡利府町",36090,11436,31.7,"2020/01/01","2021/05/01",44067
"2021/05/01","宮城県","黒川郡大和町",28598,7756,27.1,"2020/01/01","2021/05/01",44211
"2021/05/01","宮城県","黒川郡大郷町",7988,1404,17.6,"2020/01/01","2021/05/01",44229
