"算出基準日","都道府県名","市区町村名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日","団体コード"
"2021/07/01","北海道","上川郡清水町",9370,1877,20.0,"2020/01/01","2021/07/01",16365
"2021/07/01","北海道","河西郡芽室町",18468,4475,24.2,"2020/01/01","2021/07/01",16373
"2021/07/01","北海道","河西郡中札内村",3917,1164,29.7,"2020/01/01","2021/07/01",16381
"2021/07/01","北海道","河西郡更別村",3157,837,26.5,"2020/01/01","2021/07/01",16390
"2021/07/01","北海道","広尾郡大樹町",5526,1323,23.9,"2020/01/01","2021/07/01",16411
"2021/07/01","北海道","広尾郡広尾町",6669,1690,25.3,"2020/01/01","2021/07/01",16420
"2021/07/01","北海道","中川郡幕別町",26636,6948,26.1,"2020/01/01","2021/07/01",16438
"2021/07/01","北海道","中川郡池田町",6619,1795,27.1,"2020/01/01","2021/07/01",16446
"2021/07/01","北海道","中川郡豊頃町",3145,917,29.2,"2020/01/01","2021/07/01",16454
"2021/07/01","北海道","中川郡本別町",6899,1261,18.3,"2020/01/01","2021/07/01",16462
"2021/07/01","北海道","足寄郡足寄町",6787,1804,26.6,"2020/01/01","2021/07/01",16471
"2021/07/01","北海道","足寄郡陸別町",2362,476,20.2,"2020/01/01","2021/07/01",16489
"2021/07/01","北海道","十勝郡浦幌町",4615,1100,23.8,"2020/01/01","2021/07/01",16497
"2021/07/01","北海道","釧路郡釧路町",19573,6879,35.1,"2020/01/01","2021/07/01",16616
"2021/07/01","北海道","厚岸郡厚岸町",9183,2334,25.4,"2020/01/01","2021/07/01",16624
"2021/07/01","北海道","厚岸郡浜中町",5748,1320,23.0,"2020/01/01","2021/07/01",16632
"2021/07/01","北海道","川上郡標茶町",7509,1698,22.6,"2020/01/01","2021/07/01",16641
"2021/07/01","北海道","川上郡弟子屈町",7102,1849,26.0,"2020/01/01","2021/07/01",16659
"2021/07/01","北海道","阿寒郡鶴居村",2509,712,28.4,"2020/01/01","2021/07/01",16675
"2021/07/01","北海道","白糠郡白糠町",7710,2351,30.5,"2020/01/01","2021/07/01",16683
"2021/07/01","北海道","野付郡別海町",15006,3615,24.1,"2020/01/01","2021/07/01",16918
"2021/07/01","北海道","標津郡中標津町",23392,7429,31.8,"2020/01/01","2021/07/01",16926
"2021/07/01","北海道","標津郡標津町",5243,1495,28.5,"2020/01/01","2021/07/01",16934
"2021/07/01","北海道","目梨郡羅臼町",4955,1231,24.8,"2020/01/01","2021/07/01",16942
"2021/07/01","青森県","青森市",281232,80012,28.5,"2020/01/01","2021/07/01",22012
"2021/07/01","青森県","弘前市",170212,51367,30.2,"2020/01/01","2021/07/01",22021
"2021/07/01","青森県","八戸市",227812,70180,30.8,"2020/01/01","2021/07/01",22039
"2021/07/01","青森県","黒石市",33084,8213,24.8,"2020/01/01","2021/07/01",22047
"2021/07/01","青森県","五所川原市",53965,14530,26.9,"2020/01/01","2021/07/01",22055
"2021/07/01","青森県","十和田市",61067,19905,32.6,"2020/01/01","2021/07/01",22063
