団体コード,都道府県名,郡名,市区町村名
75469,福島県,双葉郡,双葉町
75477,福島県,双葉郡,浪江町
75485,福島県,双葉郡,葛尾村
75612,福島県,相馬郡,新地町
75647,福島県,相馬郡,飯舘村
82015,茨城県,,水戸市
82023,茨城県,,日立市
82031,茨城県,,土浦市
82040,茨城県,,古河市
82058,茨城県,,石岡市
82074,茨城県,,結城市
82082,茨城県,,龍ケ崎市
82104,茨城県,,下妻市
82112,茨城県,,常総市
82121,茨城県,,常陸太田市
82147,茨城県,,高萩市
82155,茨城県,,北茨城市
82163,茨城県,,笠間市
82171,茨城県,,取手市
82198,茨城県,,牛久市
82201,茨城県,,つくば市
82210,茨城県,,ひたちなか市
82228,茨城県,,鹿嶋市
82236,茨城県,,潮来市
82244,茨城県,,守谷市
82252,茨城県,,常陸大宮市
82261,茨城県,,那珂市
82279,茨城県,,筑西市
82287,茨城県,,坂東市
82295,茨城県,,稲敷市
82309,茨城県,,かすみがうら市
82317,茨城県,,桜川市
82325,茨城県,,神栖市
82333,茨城県,,行方市
82341,茨城県,,鉾田市
82350,茨城県,,つくばみらい市
82368,茨城県,,小美玉市
83020,茨城県,東茨城郡,茨城町
83097,茨城県,東茨城郡,大洗町
83101,茨城県,東茨城郡,城里町
83411,茨城県,那珂郡,東海村
83640,茨城県,久慈郡,大子町
84425,茨城県,稲敷郡,美浦村
84433,茨城県,稲敷郡,阿見町
84476,茨城県,稲敷郡,河内町
85219,茨城県,結城郡,八千代町
85421,茨城県,猿島郡,五霞町
85464,茨城県,猿島郡,境町
85642,茨城県,北相馬郡,利根町
92011,栃木県,,宇都宮市
92029,栃木県,,足利市
92037,栃木県,,栃木市
92045,栃木県,,佐野市
92053,栃木県,,鹿沼市
92061,栃木県,,日光市
92088,栃木県,,小山市
92096,栃木県,,真岡市
92100,栃木県,,大田原市
92118,栃木県,,矢板市
92134,栃木県,,那須塩原市
92142,栃木県,,さくら市
92151,栃木県,,那須烏山市
92169,栃木県,,下野市
93017,栃木県,河内郡,上三川町
93424,栃木県,芳賀郡,益子町
93432,栃木県,芳賀郡,茂木町
93441,栃木県,芳賀郡,市貝町
93459,栃木県,芳賀郡,芳賀町
93611,栃木県,下都賀郡,壬生町
93645,栃木県,下都賀郡,野木町
93840,栃木県,塩谷郡,塩谷町
93866,栃木県,塩谷郡,高根沢町
94072,栃木県,那須郡,那須町
94111,栃木県,那須郡,那珂川町
102016,群馬県,,前橋市
102024,群馬県,,高崎市
102032,群馬県,,桐生市
102041,群馬県,,伊勢崎市
102059,群馬県,,太田市
102067,群馬県,,沼田市
102075,群馬県,,館林市
102083,群馬県,,渋川市
102091,群馬県,,藤岡市
102105,群馬県,,富岡市
102113,群馬県,,安中市
102121,群馬県,,みどり市
103446,群馬県,北群馬郡,榛東村
103454,群馬県,北群馬郡,吉岡町
103667,群馬県,多野郡,上野村
103675,群馬県,多野郡,神流町
103829,群馬県,甘楽郡,下仁田町
103837,群馬県,甘楽郡,南牧村
103845,群馬県,甘楽郡,甘楽町
104213,群馬県,吾妻郡,中之条町
104248,群馬県,吾妻郡,長野原町
104256,群馬県,吾妻郡,嬬恋村
104264,群馬県,吾妻郡,草津町
104281,群馬県,吾妻郡,高山村
104299,群馬県,吾妻郡,東吾妻町
104434,群馬県,利根郡,片品村
104442,群馬県,利根郡,川場村
104485,群馬県,利根郡,昭和村
104493,群馬県,利根郡,みなかみ町
104647,群馬県,佐波郡,玉村町
105210,群馬県,邑楽郡,板倉町
105228,群馬県,邑楽郡,明和町
105236,群馬県,邑楽郡,千代田町
105244,群馬県,邑楽郡,大泉町
105252,群馬県,邑楽郡,邑楽町
111007,埼玉県,,さいたま市
112011,埼玉県,,川越市
112020,埼玉県,,熊谷市
112038,埼玉県,,川口市
112062,埼玉県,,行田市
112071,埼玉県,,秩父市
112089,埼玉県,,所沢市
112097,埼玉県,,飯能市
112101,埼玉県,,加須市
112119,埼玉県,,本庄市
112127,埼玉県,,東松山市
112143,埼玉県,,春日部市
112151,埼玉県,,狭山市
112160,埼玉県,,羽生市
112178,埼玉県,,鴻巣市
112186,埼玉県,,深谷市
112194,埼玉県,,上尾市
